excel_row,docente,tipo_producao,ano,revista_ou_veiculo,titulo,doi
130,Guilherme Assunção Ferreira,artigo,2025,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,"Neural and Muscular Determinants of Performance Fatigability Are Independent of Work and Recovery Durations During High-Intensity Interval Exercise in Males. RESEARCH QUARTERLY FOR EXERCISE AND SPORT, v. 96, p. 338-348, 2025",10.1080/02701367.2025.2515968
137,Ozeas de Lima Lins Filho,artigo,2022,Sleep and Breathing,"Is obstructive sleep apnea associated with increased arterial stiffness in patients with COPD?. Sleep and Breathing, v. 1, p. 0-0, 2022",10.1007/s11325-024-03181-3
147,Vilde Gomes de Menezes,artigo,2025,LUMEN ET VIRTUS,"POLÍTICAS PÚBLICAS Y FINANCIACIÓN DE LA EDUCACIÓN EN BRASIL: FUNDEF Y FUNDEB. LUMEN ET VIRTUS, v. 16, p. 6687-6695, 2025",10.56238/levv16n49-040
161,André dos Santos Costa,artigo,2024,RETOS,What is the best predictor of body fat percentage for older brazilian women?,10.47197/retos.v72.113173
183,Paulo Felipe Ribeiro Bandeira,artigo,2023,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Paths towards a healthier among short and adequate sleepers: A pathway network analysis considering movement behaviors in low-income preschoolers. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 1, p. 1-11, 2023",10.1002/ajhb.70024
196,Paulo Felipe Ribeiro Bandeira,artigo,2025,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Association Between 24-h Movement Behavior, Physical Fitness, and Inhibitory Control in School Adolescents: A Complex Network Analysis. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 37, p. 1-12, 2025",10.1002/ajhb.70024
199,Paulo Felipe Ribeiro Bandeira,artigo,2022,Journal of Sports Sciences,"TGMD-3 short version: Evidence of validity and associations with sex in Irish children. Journal of Sports Sciences, v. 40, p. 138-145, 2022",10.1080/02640414.2025.2540202
202,Rafael dos Santos Henrique,artigo,2025,RETOS,What school environment characteristics influence the physical fitness of low-income schoolchildren?,10.47197/retos.v72.113173
204,Ozeas de Lima Lins Filho,artigo,2026,SLEEP MEDICINE,"Effects of combined exercise and sleep hygiene on obstructive sleep apnea severity in older adults: a randomized controlled trial. SLEEP MEDICINE, v. 144, p. 1-9, 2026",10.1016/j.sleep.2026.108879
226,Bruno Teixeira Barbosa,artigo,2025,INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,"Effect of mental fatigue on decision-making skill and visual search behaviour in basketball players: an experimental and randomised study. INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY, v. 23, p. 1-20, 2025",10.1080/1612197x.2024.2446329
233,Tony Meireles dos Santos,artigo,2021,JOURNAL OF PHYSICAL EDUCATION (ONLINE),Reliability of the high-speed camera-based system (hsc-kinovea) for lower-limb explosive strength endurance assessment in athletes,10.4025/jphyseduc.v36i1.3607
243,Paulo Felipe Ribeiro Bandeira,artigo,2024,RETOS,Psychometric properties of the knowledge and understanding questionnaire of the canadian assessment of physical literacy-2 in low-income brazilian children,10.47197/retos.v72.113173
248,Rafael dos Santos Henrique,artigo,2024,RETOS,Psychometric properties of the knowledge and understanding questionnaire of the canadian assessment of physical literacy-2 in low-income brazilian children,10.47197/retos.v72.113173
250,Daniel da Rocha Queiroz,artigo,2021,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,National guidelines for physical activity in early childhood in American countries: a scoping review,10.12820/rbafs.30e0411
286,Leonardo Gomes de Oliveira Luz,capitulo,2023,,"Cunha Júnior, A",
288,Rafael dos Santos Henrique,artigo,2025,RETOS,"Physical growth, school environment, and birth information in the physical activity of children: A multilevel analysis of ELOS-Pré study",10.47197/retos.v72.113173
289,Rafael dos Santos Henrique,artigo,2022,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Inter-individual variability in children's physical growth and body composition: Findings of longitudinal ELOS-Pré study. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 34, p. e23697, 2022",10.1002/ajhb.70024
290,Daniel da Rocha Queiroz,artigo,2025,RETOS,"Physical growth, school environment, and birth information in the physical activity of children: a multilevel analysisCrecimiento físico, entorno escolar e información del nacimiento en la actividad física de los niños: un análisis multinivelCrescimento físico, ambiente escolar e informação sobre a atividade física infantil à nascença: uma análise multinível",10.47197/retos.v72.113173
297,Rafael dos Santos Henrique,artigo,2025,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Gender differences in children?s physical literacy and physical activity: a network analysis,10.12820/rbafs.30e0411
299,Rafael dos Santos Henrique,artigo,2024,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Biological maturation, fat mass and cardiorespiratory fitness in prepubescent girls: A mediation analysis. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. e24120, 2024",10.1002/ajhb.70024
300,Rafael dos Santos Henrique,artigo,2025,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Correlates of moderate-to-vigorous physical activity among prepubertal girls: a bioecological approach. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 37, p. e70024, 2025",10.1002/ajhb.70024
303,Leonardo Gomes de Oliveira Luz,artigo,2025,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Correlates of Moderate‐to‐Vigorous Physical Activity Among Prepubertal Girls: A Bioecological Approach. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 37, p. 1-5, 2025",10.1002/ajhb.70024
304,Leonardo Gomes de Oliveira Luz,artigo,2024,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Biological maturation, fat mass and cardiorespiratory fitness in prepubescent girls: A mediation analysis. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 37, p. 1, 2024",10.1002/ajhb.70024
311,Leonardo Gomes de Oliveira Luz,artigo,2022,American Journal of Human Biology,"Clusters of obesogenic behaviors and metabolic risk according to somatic maturity status among adolescents. American Journal of Human Biology, v. e, p. 1, 2022",10.1002/ajhb.70024
312,Rafael dos Santos Henrique,artigo,2024,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Birth weight and nutritional status in school-age children from Boane city, Mozambique. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. e24072, 2024",10.1002/ajhb.70024
319,Paulo Felipe Ribeiro Bandeira,artigo,2024,American Journal of Human Biology,"Compliance with the 24-h movement behaviors guidelines among urban and rural Brazilian preschoolers. American Journal of Human Biology, v. 36, p. 1-12, 2024",10.1002/ajhb.70024
327,Clarice Maria de Lucena Martins,artigo,2024,AMERICAN JOURNAL OF HUMAN BIOLOGY,"Compliance with the 24-h movement behaviors guidelines among urban and rural Brazilian preschoolers. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 1, p. 29e:24045, 2024",10.1002/ajhb.70024
334,Saulo Fernandes Melo de Oliveira,artigo,2024,RETOS,Equilibrio y carga plantar en diferentes técnicas de sentadilla,10.47197/retos.v72.113173
337,Vilde Gomes de Menezes,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,"Níveis de atividade física em pacientes hipertensos e diabéticos: um estudo na cidade de Caruaru- PE. OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA, v. 23, p. e9746, 2025",10.55905/oelv23n4-058
349,Pedro Pinheiro Paes Neto,artigo,2025,RETOS,Influence of physical activity on balance in children: a cross sectional study,10.47197/retos.v72.113173
354,Rafael dos Santos Henrique,artigo,2021,JOURNAL OF SPORTS SCIENCES,"The influence of anthropometric variables, body composition, propulsive force and maturation on 50m freestyle swimming performance in junior swimmers: An allometric approach. JOURNAL OF SPORTS SCIENCES, v. 39, p. 1615-1620, 2021",10.1080/02640414.2025.2540202
357,André dos Santos Costa,artigo,2024,JOURNAL OF PHYSICAL EDUCATION (ONLINE),Influência dos jogos e brincadeiras ativos na cognição de crianças: uma revisão sistemática,10.4025/jphyseduc.v36i1.3607
358,André dos Santos Costa,artigo,2023,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Efeitos dos jogos e brincadeiras na cognição e desempenho escolar de crianças,10.12820/rbafs.30e0411
359,Rafael dos Santos Henrique,artigo,2023,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Fatores associados aos comportamentos ativo e sedentário em adolescentes brasileiros: uma análise de redes,10.12820/rbafs.30e0411
365,Vilde Gomes de Menezes,artigo,2025,REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA,"O regulamento de fair play financeiro (FFP) da UEFA: Incidência empírica de critérios do FFP no contexto dos clubes de futebol moçambicanos, 2024. REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA, v. 15, p. 1-18, 2025",10.51995/2237-3373
371,Tony Meireles dos Santos,artigo,2023,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,"Effect of High-Intensity Interval, Moderate-Intensity Continuous, and Self-Selected Intensity Training on Health and Affective Responses. RESEARCH QUARTERLY FOR EXERCISE AND SPORT, v. 95, p. 1-16, 2023",10.1080/02701367.2025.2515968
394,Pedro Pinheiro Paes Neto,artigo,2025,RETOS,"Is there an association between physical activity level, nutritional status, biological maturation, and body satisfaction in adolescents?",10.47197/retos.v72.113173
397,Paulo Felipe Ribeiro Bandeira,artigo,2023,International Journal of Environmental Research and Public Health,"How Do Health, Biological, Behavioral, and Cognitive Variables Interact over Time in Children of Both Sexes? A Complex Systems Approach. International Journal of Environmental Research and Public Health, v. 20, p. 2728-19, 2023",10.3390/ijerph23020221
398,Pedro Pinheiro Paes Neto,artigo,2024,CUADERNOS DE EDUCACIÓN Y DESARROLLO,"Osteomuscular health of physical educativo teacher working in gyms. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 16, p. e4741-15, 2024",10.55905/cuadv17n4-164
399,Pedro Pinheiro Paes Neto,artigo,2024,RETOS,Cross sectional analysis of muscular strength and flexibility during the menstrual cycle in women engaged in strength training,10.47197/retos.v72.113173
401,Rafael dos Santos Henrique,artigo,2025,RETOS,Sibling's resemblance in health- and performance-related fitness among Brazilian youth,10.47197/retos.v72.113173
406,Leonardo Gomes de Oliveira Luz,artigo,2024,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Atividade física e comportamento sedentário de adolescentes da rede pública: uma análise de redesPhysical activity and sedentary behavior of adolescents in public schools: a network analysis,10.12820/rbafs.30e0411
407,Paulo Felipe Ribeiro Bandeira,artigo,2024,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Physical activity and sedentary behavior of adolescents in public schools: a network analysis,10.12820/rbafs.30e0411
408,Paulo Felipe Ribeiro Bandeira,artigo,2025,RETOS,Sibling's resemblance in health- and performance-related fitness among Brazilian youth,10.47197/retos.v72.113173
409,Leonardo Gomes de Oliveira Luz,artigo,2025,RETOS,Sibling's resemblance in health- and performance-related fitness among Brazilian youth,10.47197/retos.v72.113173
412,Daniel da Rocha Queiroz,artigo,2025,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,The importance of the moderate-to-vigorous physical activity and sedentary behavior combined pattern on the association between body mass index and motor competence in children,10.12820/rbafs.30e0411
422,Pedro Pinheiro Paes Neto,artigo,2025,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,Impact of strength training on reducing risk of fractures in people living with Human Immunodeficiency virus,10.1016/j.jbmt.2024.11.012
423,Pedro Pinheiro Paes Neto,artigo,2024,CUADERNOS DE EDUCACIÓN Y DESARROLLO,"Correlation between school material transportation and postural changes in elementary school students. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 16, p. 01-13, 2024",10.55905/cuadv17n4-164
425,Daniel da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,"Comportamentos de Movimento de 24 horas em Crianças e Adolescentes: Protocolo de Revisão de Escopo. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 17, p. e8190, 2025",10.55905/cuadv17n4-164
439,Paulo Felipe Ribeiro Bandeira,artigo,2021,International Journal of Environmental Research and Public Health,"Sociodemographic, Behavioral and Oral Health Factors in Maternal and Child Health: An Interventional and Associative Study from the Network Perspective. International Journal of Environmental Research and Public Health, v. 18, p. 1-14, 2021",10.3390/ijerph23020221
441,Saulo Fernandes Melo de Oliveira,artigo,2023,Advances in Rehabilitation,"Pain, discomfort and psychobiological factors in wheelchair tennis athletes following COVID-19 lockdowns",10.5114/areh.2025.153216
443,Tony Meireles dos Santos,artigo,2025,JOURNAL OF PHYSICAL EDUCATION (ONLINE),Integration of cyberculture in physical education courses at federal universities in Northeastern Brazil,10.4025/jphyseduc.v36i1.3607
446,Leonardo Gomes de Oliveira Luz,artigo,2023,RETOS,Gross motor coordination in schoolboys of pubertal age contrasting in futsal practice level groups,10.47197/retos.v72.113173
448,Lucas Eduardo Rodrigues dos Santos,artigo,2025,JOURNAL OF PHYSICAL EDUCATION (ONLINE),INTEGRATION OF CYBERCULTURE IN PHYSICAL EDUCATION COURSES AT FEDERAL UNIVERSITIES IN NORTHEASTERN BRAZIL,10.4025/jphyseduc.v36i1.3607
449,Vilde Gomes de Menezes,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,"Análise da oferta de Políticas Públicas de esportes nas regiões metropolitanas do Brasil. OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA, v. 23, p. e9520, 2025",10.55905/oelv23n4-058
465,Daniel da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,"Relação dos indicadores de atividade física e comportamento sedentário com as dimensões do isolamento social em adolescentes. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 17, p. e9188, 2025",10.55905/cuadv17n4-164
468,Paulo Felipe Ribeiro Bandeira,artigo,2024,SPORT SCIENCES FOR HEALTH (TESTO STAMPATO),"A multicomponent intervention program modifies the cluster of insulin biomarkers, body composition, physical fitness, and behaviors in adolescents with overweight and obesity: a network perspective",10.1007/s11332-024-01295-5
470,Bruno Teixeira Barbosa,livro,2025,,Sono em Foco: Educação sobre Sono para Profissionais de Saúde,
481,Daniel da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,"Associação entre o nível de atividade física e os domínios da síndrome de burnout em servidores da Polícia Federal do Brasil. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 17, p. e9139, 2025",10.55905/cuadv17n4-164
491,Daniel da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,"Relação longitudinal da atividade física e do comportamento sedentário com a ansiedade e o estresse psicológico em adolescentes durante a pandemia de COVID-19. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 17, p. e9193, 2025",10.55905/cuadv17n4-164
493,Daniel da Rocha Queiroz,artigo,2021,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Atividade física para crianças até 5 anos: Guia de Atividade Física para a População Brasileira,10.12820/rbafs.30e0411
494,Clarice Maria de Lucena Martins,artigo,2021,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Atividade física para crianças até 5 anos: Guia de Atividade Física para a População Brasileira,10.12820/rbafs.30e0411
496,Lucas Eduardo Rodrigues dos Santos,artigo,2023,International Journal of Environmental Research and Public Health,"Is There a Dose-Response Relationship between High-Intensity Interval Exercise (HIIE) Intensity and Affective Valence? Analysis of Three HIIE Sessions Performed with Different Amplitudes. International Journal of Environmental Research and Public Health, v. 20, p. 2698, 2023",10.3390/ijerph23020221
497,Tony Meireles dos Santos,artigo,2023,International Journal of Environmental Research and Public Health,"Is There a Dose-Response Relationship between High-Intensity Interval Exercise (HIIE) Intensity and Affective Valence? Analysis of Three HIIE Sessions Performed with Different Amplitudes. International Journal of Environmental Research and Public Health, v. 20, p. 2698, 2023",10.3390/ijerph23020221
499,Paulo Felipe Ribeiro Bandeira,artigo,2023,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Related-factors of social support for students? physical activity in a network perspective,10.12820/rbafs.30e0411
513,Paulo Felipe Ribeiro Bandeira,artigo,2021,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Effects of a randomized controlled study on the behaviors of overweight schoolchildren,10.12820/rbafs.30e0411
516,Vilde Gomes de Menezes,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,"Associação entre comportamento sedentário e gastos públicos com doenças crônicas em adultos e idosos não institucionalizados: uma revisão sistemática. OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA, v. 23, p. e10706, 2025",10.55905/oelv23n4-058
531,Pedro Pinheiro Paes Neto,artigo,2024,RETOS,Avaliação da satisfação dos usuários de uma academia ao ar livre como ferramenta para melhoria e aumento de adesão,10.47197/retos.v72.113173
539,Paulo Felipe Ribeiro Bandeira,artigo,2025,International Journal of Environmental Research and Public Health,"Statistical and Machine Learning Modeling of Psychological, Sociodemographic, and Physical Activity Factors Associated with Weight Regain After Bariatric Surgery. International Journal of Environmental Research and Public Health, v. 22, p. 904, 2025",10.3390/ijerph23020221
